Time,Name,PosX,PosY,VelX,VelY,Mass
3.335,Ast131,3.025088,-0.340184,0.041678,0.557188,3.999732e-10
3.335,Ast151,2.569514,0.652794,-0.138773,0.606013,8.683974e-10
3.335,Ast171,-2.454778,-1.605684,0.331375,-0.461195,4.209258e-10
3.335,Ast191,-1.744763,1.413022,-0.369351,-0.535601,2.046551e-10
4.335,Sun,0.000367,0.000071,0.000163,0.000034,1.000000e+00
4.335,Mercury,0.276041,-0.273361,1.151320,1.114871,1.659000e-07
4.335,Venus,0.507865,0.514788,-0.833819,0.829638,2.447000e-06
4.335,Earth,-0.343681,-0.944345,0.931841,-0.349036,3.003000e-06
4.335,Mars,-1.034426,1.113769,-0.597403,-0.549763,3.227000e-07
4.335,Jupiter,4.857389,1.862567,-0.156921,0.409408,9.545000e-04
4.335,Saturn,9.434712,1.401741,-0.047792,0.320284,2.856000e-04
4.335,Uranus,19.165247,0.991397,-0.011821,0.227968,4.365000e-05
4.335,Neptune,30.058512,0.792283,-0.004815,0.182302,5.127000e-05
4.335,Ast11,-2.286608,1.029731,-0.317484,-0.562415,1.681399e-10
4.335,Ast31,2.394629,-0.514459,0.108223,0.623950,9.446579e-10
4.335,Ast51,-2.636246,-1.391305,0.276146,-0.504964,8.739742e-10
4.335,Ast71,-1.802937,1.917968,-0.457127,-0.417703,9.558104e-10
4.335,Ast91,-0.675947,-2.345558,0.610819,-0.222902,6.367728e-10
4.335,Ast111,2.090444,-1.153512,0.318991,0.565162,2.377741e-10
4.335,Ast131,3.012171,0.219847,-0.066781,0.559514,3.999732e-10
4.335,Ast151,2.363085,1.235947,-0.270555,0.555762,8.683974e-10
4.335,Ast171,-2.076213,-2.031487,0.422753,-0.387930,4.209258e-10
4.335,Ast191,-2.029371,0.821499,-0.195054,-0.638668,2.046551e-10
5.335,Sun,0.000549,0.000113,0.000199,0.000051,1.000000e+00
5.335,Mercury,-0.375600,-0.089942,0.337884,-1.572941,1.659000e-07
5.335,Venus,-0.543791,0.471958,-0.780642,-0.885144,2.447000e-06
5.335,Earth,0.600128,-0.808055,0.800025,0.589779,3.003000e-06
5.335,Mars,-1.458907,0.433588,-0.235166,-0.775875,3.227000e-07
5.335,Jupiter,4.683245,2.264811,-0.190823,0.394751,9.545000e-04
5.335,Saturn,9.381416,1.721150,-0.058680,0.318491,2.856000e-04
5.335,Uranus,19.152053,1.219289,-0.014539,0.227811,4.365000e-05
5.335,Neptune,30.053137,0.974568,-0.005923,0.182269,5.127000e-05
5.335,Ast11,-2.529689,0.441001,-0.169425,-0.608039,1.681399e-10
5.335,Ast31,2.418891,0.120132,-0.059258,0.637844,9.446579e-10
5.335,Ast51,-2.311585,-1.866564,0.370336,-0.443065,8.739742e-10
5.335,Ast71,-2.206377,1.451376,-0.347358,-0.510160,9.558104e-10
5.335,Ast91,-0.048976,-2.486466,0.635653,-0.060469,6.367728e-10
5.335,Ast111,2.328650,-0.552740,0.156320,0.628341,2.377741e-10
5.335,Ast131,2.890301,0.771935,-0.175644,0.541365,3.999732e-10
5.335,Ast151,2.032696,1.754337,-0.385806,0.477544,8.683974e-10
5.335,Ast171,-1.613263,-2.374566,0.499628,-0.296229,4.209258e-10
5.335,Ast191,-2.121624,0.153062,0.013002,-0.687332,2.046551e-10
6.335,Sun,0.000765,0.000171,0.000232,0.000066,1.000000e+00
6.335,Mercury,0.128296,0.365007,-1.509429,0.559283,1.659000e-07
6.335,Venus,-0.438373,-0.574895,0.925791,-0.724137,2.447000e-06
6.335,Earth,1.000789,0.059024,-0.059756,0.996507,3.003000e-06
6.335,Mars,-1.479545,-0.366715,0.190356,-0.786737,3.227000e-07
6.335,Jupiter,4.475860,2.650972,-0.223376,0.377287,9.545000e-04
6.335,Saturn,9.317267,2.038580,-0.069499,0.316330,2.856000e-04
6.335,Uranus,19.136143,1.447008,-0.017254,0.227623,4.365000e-05
6.335,Neptune,30.046655,1.156818,-0.007031,0.182230,5.127000e-05
6.335,Ast11,-2.624201,-0.174054,-0.021936,-0.616052,1.681399e-10
6.335,Ast31,2.273847,0.746121,-0.228427,0.606767,9.446579e-10
6.335,Ast51,-1.899091,-2.270867,0.451356,-0.363607,8.739742e-10
6.335,Ast71,-2.490616,0.906344,-0.220061,-0.574239,9.558104e-10
6.335,Ast91,0.581601,-2.466595,0.619174,0.096957,6.367728e-10
6.335,Ast111,2.398033,0.088249,-0.016457,0.645669,2.377741e-10
6.335,Ast131,2.660904,1.295265,-0.281216,0.502158,3.999732e-10
6.335,Ast151,1.597798,2.182568,-0.479013,0.376640,8.683974e-10
6.335,Ast171,-1.082451,-2.617524,0.557993,-0.188294,4.209258e-10
6.335,Ast191,-1.995252,-0.530080,0.238579,-0.666470,2.046551e-10
7.335,Sun,0.001014,0.000246,0.000268,0.000083,1.000000e+00
7.335,Mercury,0.244398,-0.302306,1.269113,0.978800,1.659000e-07
7.335,Venus,0.597631,-0.412810,0.674180,0.958689,2.447000e-06
7.335,Earth,0.486308,0.869611,-0.876627,0.489802,3.003000e-06
7.335,Mars,-1.092493,-1.066162,0.561624,-0.581374,3.227000e-07
7.335,Jupiter,4.236703,3.018303,-0.254347,0.357141,9.545000e-04
7.335,Saturn,9.242338,2.353666,-0.080236,0.313805,2.856000e-04
7.335,Uranus,19.117518,1.674522,-0.019967,0.227403,4.365000e-05
7.335,Neptune,30.039065,1.339025,-0.008138,0.182184,5.127000e-05
7.335,Ast11,-2.575094,-0.779969,0.116749,-0.590958,1.681399e-10
7.335,Ast31,1.963976,1.317765,-0.386833,0.529739,9.446579e-10
7.335,Ast51,-1.413657,-2.587922,0.515859,-0.269212,8.739742e-10
7.335,Ast71,-2.641742,0.312843,-0.082475,-0.607090,9.558104e-10
7.335,Ast91,1.177020,-2.295786,0.566712,0.240259,6.367728e-10
7.335,Ast111,2.294864,0.723025,-0.186723,0.616569,2.377741e-10
7.335,Ast131,2.329306,1.768734,-0.379410,0.441918,3.999732e-10
7.335,Ast151,1.082515,2.501004,-0.546334,0.259185,8.683974e-10
7.335,Ast171,-0.504306,-2.745650,0.593868,-0.067322,4.209258e-10
7.335,Ast191,-1.644781,-1.152499,0.456277,-0.565685,2.046551e-10
